Team Name,Night,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Total Points
Team 1 - LAX-Winona Fusion,Wednesday,?,8,6,WEATHER,5,WEATHER,WEATHER,10,8,10,7,54
Team 2 - Rally Monkeys,Wednesday,8,9,WEATHER,WEATHER,9,WEATHER,WEATHER,9,8,6,10,59
Team 3 - Hit Squad,Wednesday,6,10,WEATHER,WEATHER,9,6,WEATHER,10,9,10,9,69
Team 4 Hot Shots,Wednesday,10,9,WEATHER,WEATHER,8,7,WEATHER,8,9,10,6,67
Team 5 - Glory Days,Wednesday,5,10,WEATHER,WEATHER,10,6,WEATHER,6,8,8,5,58
Team 6 Howie's Team,Wednesday,10,10,WEATHER,WEATHER,8,7,WEATHER,7,9,8,7,66
Team 7 - Serve Aces,Wednesday,6,7,WEATHER,WEATHER,8,8,WEATHER,6,6,5,4,50
Team 8 - Not My Fault,Wednesday,12,9,10,WEATHER,12,9,WEATHER,7,9,9,12,89
Team 9 Baseliners,Wednesday,8,11,8,WEATHER,9,10,WEATHER,10,6,8,11,81
Team 10 Backhand Bandits,Wednesday,11,10,11,WEATHER,9,11,WEATHER,9,11,12,12,96
Team 11 - Simply Smashing,Wednesday,10,10,10,WEATHER,9,10,WEATHER,9,7,9,10,84
Team 12 - Nothing But Net,Wednesday,?,7,6,WEATHER,8,7,WEATHER,9,12,8,9,66
Team 1 - Spin Doctors,Tuesday,12,11,10,12,12,12,12,11,11,12,12,127
Team 2 - Subs,Tuesday,WEATHER,6,7,11,10,9,4,9,8,7,4,75
Team 3 - Herons,Tuesday,10,10,9,7,7,9,7,8,9,10,8,94
Team 4 - Approach Shots,Tuesday,WEATHER,5,9,8,8,7,12,8,8,8,6,79
Team 5 - Racquet Scientists,Tuesday,9,7,8,8,10,8,10,6,8,6,4,84
Team 6 - Rascals,Tuesday,WEATHER,9,8,7,8,9,5,8,8,8,7,77
Team 7 - Good Ol' Boys,Tuesday,WEATHER,10,10,12,8,6,7,8,10,6,6,83
Team 8 - Return to Sender with Love,Tuesday,8,7,7,10,6,9,5,8,9,4,11,84
Team 9 - Bounce It,Tuesday,WEATHER,10,10,6,11,9,10,7,10,12,10,95
Team 10 - Jetsetters,Tuesday,6,8,6,8,10,8,12,10,7,8,12,95
Team 11 - Full Metal Racquet,Tuesday,WEATHER,5,6,6,8,8,6,6,9,10,10,74
Team 12 - Easy Overhead,Tuesday,4,8,10,10,7,8,11,10,9,8,9,94
